SCHOOLID,Language.of.test,General.Stratum
128,ISR_Hebrew,ISR_Hebrew_Secular
129,ISR_Hebrew,ISR_Hebrew_Secular
130,ISR_Hebrew,ISR_Hebrew_Secular
131,ISR_Hebrew,ISR_Hebrew_Secular
132,ISR_Hebrew,ISR_Hebrew_Secular
133,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
134,ISR_Hebrew,ISR_Hebrew_Secular
135,ISR_Hebrew,ISR_Hebrew_Secular
136,ISR_Hebrew,ISR_Hebrew_Religious
137,ISR_Hebrew,ISR_Hebrew_Secular
138,ISR_Arabic,
139,ISR_Hebrew,ISR_Hebrew_Secular
140,ISR_Hebrew,ISR_Hebrew_Secular
141,ISR_Hebrew,ISR_Hebrew_Secular
142,ISR_Hebrew,ISR_Hebrew_Secular
143,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
144,ISR_Hebrew,ISR_Hebrew_Secular
145,ISR_Hebrew,ISR_Hebrew_Secular
146,ISR_Hebrew,ISR_Hebrew_Secular
147,ISR_Hebrew,ISR_Hebrew_Religious
148,ISR_Hebrew,ISR_Hebrew_Secular
149,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
150,ISR_Hebrew,ISR_Hebrew_Religious
151,ISR_Hebrew,ISR_Hebrew_Secular
152,,
153,ISR_Hebrew,ISR_Hebrew_Secular
154,ISR_Arabic,
155,,
156,ISR_Hebrew,ISR_Hebrew_Secular
157,ISR_Hebrew,ISR_Hebrew_Secular
158,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
159,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
160,ISR_Hebrew,ISR_Hebrew_Religious
161,ISR_Hebrew,ISR_Hebrew_Secular
162,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
163,ISR_Hebrew,ISR_Hebrew_Secular
164,,
165,ISR_Arabic,
166,ISR_Hebrew,ISR_Hebrew_Secular
167,ISR_Arabic,
168,ISR_Hebrew,ISR_Hebrew_Secular
169,ISR_Hebrew,ISR_Hebrew_Secular
170,ISR_Hebrew,ISR_Hebrew_Secular
171,ISR_Hebrew,ISR_Hebrew_Religious
172,ISR_Arabic,
173,ISR_Hebrew,ISR_Hebrew_Secular
174,ISR_Hebrew,ISR_Ultra_Orthodox_Girls
175,ISR_Arabic,
176,ISR_Hebrew,ISR_Hebrew_Secular
